Please state the name of the partner:,What sector does your partner belong to?,Please provide a brief description of the partnership.,Is this a new and unusual partner for UNDP?,iso3,country
"Ministry of International Cooperation, Egypt",Government (&amp;related),"they launched the competition, they are the data owner and the scaling partner",No,EGY,Egypt
Santo Domingo Este Municipality- https://ayuntamientosde.gob.do/,Government (&amp;related),"The SDE municipality is the governmental authority on all issues regarding SWM. We have been partners with them on a host range of topics, one of each is the lab’s involvement in a few disadvantaged communities around the Ozama river. They authorized our work.

FUNDOAMOR: an NGO partner which has been our help to establish relations with community gatekeepers. It was also the selected implementing partner.

",No,DOM,Dominican Republic
MASH Foundation  which is a social enterprise which enables multi-stakeholders partnerships,Civil Society,"We consulted a range of partners - ESOs like Makers Asylum, School of Social Entrepreneurs, Climate Collective etc. Since the hub is envisioned to be a multi stakeholder alliance, we see that a number of partners will join this larger collective",Yes,IND,India
Many CSOs and universities,Civil Society,All CSOs using innovation methodologies,No,TUN,Tunisia
"the municipality,",Government (&amp;related),"All of these partners intervene in the administration of the site and the Mosque

",No,TUN,Tunisia
Municiplaity of Kairouan,Government (&amp;related),"The municipality takes care of all local services in the commune, including cleaning and waste collection ",No,TUN,Tunisia
UNDP AccLab Sudan,United Nations,We leveraged the toolkit the lab had developed for dangerous speech in creating the campaign content and logic,No,EGY,Egypt
Municipality of Las Terrenas: key public sector partner,Government (&amp;related),"Las Terrenas is a beach town in the northeastern part of the DR. UNDP has been in close collaboration with the Office of the Mayor and a host of stakeholders who have some level of interest in Las Terrenas. The town's Mayor has given UNDP and the AccLab a green light for conducting the assessment as well as for coming up with potential proposals for making Las Terrenas a more sustainable destination.  

",No,DOM,Dominican Republic
Brahin and Khoiniki executive comities,Government (&amp;related),Brahin and Khoiniki executive committees helped to identify and engage local social entrepreneurs as participants of the experiment. They also supported dissemination of experiment's results. ,No,BLR,Belarus
City of Skopje,Government (&amp;related),"UNICEF, UNDP and the City of Skopje signed an MoU for the establishment of this laboratory outlining the circumstances it needs to operate. This has been approved by the City Council.",No,MKD,North Macedonia
Ministry of Justice,Government (&amp;related),MoJ was the main partner working with us and using their HQ to conduct the testing. ,No,GNB,Guinea-Bissau
"Ministry of Foreign Affairs, General Direction of Communities",Government (&amp;related),They were the main partner engaged in the Diasporic Communities as well as working on areas of focus for improved diaspora engagement and relations. ,No,GNB,Guinea-Bissau
Council of Bissau,Government (&amp;related),They were the main partner to present the findings and decision-making when it came to testing and ensuring the space was looked after. ,No,GNB,Guinea-Bissau
Zorabots Africa,Private Sector,"n/a

",Yes,RWA,Rwanda
Civil Society Organizations in North Macedonia [20 CSOs] - for the signals scanning process,Civil Society,"For the signals scanning process, we share the form [in both experiments] to a list of 20 civil society organizations in North Macedonia and a number of academics.",Yes,MKD,North Macedonia
GovTech Agency,Government (&amp;related),collaborative partnership wherein GovTech organized workshops and brought stakeholders together while UNDP provided technical support and carried out surveys along with the foresight workshops,No,BTN,Bhutan
"Samoa Bureau of Statistics - Births, Deaths and Marriages Unit",Government (&amp;related),"Phase II was funded by the Government of New Zealand through the United Nations Pacific Strategy Fund. 

",No,WSM,Samoa
Samoa National Youth Council Inc,Civil Society,"The Samoa National Youth Council is the recognized youth platform in Samoa both by the Government and other NGOs. In addition, the structure of their membership which are Village Youth Representatives is what was needed for the AccLab to navigate the village locations chosen for the first mapping test.",No,WSM,Samoa
Tototo (Think Sea Corp),Private Sector,Tototo (Think Sea Corp) is a Japanese company that was interested in partnering with the Samoa Accelerator Lab through the Japan Innovation Challenge on how to turn fish waste skin into leather. ,Yes,WSM,Samoa
Sub-national Governments at province and lower level,Government (&amp;related),"We worked with three sub-national governments at province and lower level. In addition, we integrated UNDP's five different projects. Two projects had established partnership with the subnational governments. We aimed to build on their work and expand involving other projects to help the sub-national governments do systems change with the support of the UNDP projects through multiple and coordinated interventions.

The selected sub-national governments expressed their interest to work with UNDP projects within portfolio framework. A joint action plan for 2024 was developed to address challenges faced by the local communities and the local governments approved approximately 440 million Mongolian tugrugs (USD 128,000) as cost sharing for the execution of the action plan. 

The Sustainable Livelihood and Environment Portfolio will focus on multiple intervention points including local policy change, local economic solutions, and herders’ behavioral change.   

",No,MNG,Mongolia
Municipality of Concepción,Government (&amp;related),"The municipality of Concepción, province of Entre Ríos, Argentina, hosted the first workshop on native flora. It is worth mentioning that the Lab brought Concepción as an UNDP partner in the first place. Alongside the municipality, we also worked on digital inclusion",No,ARG,Argentina
5 different projects within the UNDP and the National University of Mongolia.,Academia,"5 different projects within the UNDP and the National University of Mongolia.

Business School of the National University of Mongolia and the Strengthening Systems Approach for SDGs in Mongolia project, Business and Human Rights project,  Environmental Governance for Sustainable Natural Resource Management project, NDC Support Programme project and the Biodiversity finance initiative project. 

",Yes,MNG,Mongolia
Dili Municipality Office,Government (&amp;related),"The collaboration between UNDP Acc.Lab and the local government mentioned are to ensure that the learning insights are generated and the government will adopt the proposed innovation methods to continuously improve waste management in other places in Dili 

",No,TLS,East Timor
UNDP Justice Program,United Nations,The collaboration is aimed to use in-depth interviews or deep listening interviews to collect information about gender perspectives by country office staff,No,TLS,East Timor
"ICT division, Government of bangladesh",Government (&amp;related),"Co-design and possible implementation 

",No,BGD,Bangladesh
PIT Policy Lab,Civil Society,"A knowledge partnership in which we collaborated in the identification and analysis of risks and opportunities for the application of generative AI in public services, as well in an ecosystem mapping.  ",Yes,MEX,Mexico
"Local government of Ituri, South Kivu and Maniema provinces",Government (&amp;related),"In collaboration with the decentralization program, we leveraged existing partnerships with local government to act within the approach as a key enabler for Youth network activation, training, and data collection deployment. We worked with the local government and their division of planning to secure the process of recruiting youth, training them, and deploying the data collection with their support in preparing the collection targets before the rollout 

",No,COD,Democratic Republic of the Congo
Institut de Conseil et d'Appui Technique (ICAT),Government (&amp;related),Collaborated to leverage their agrometeorological expertise and insights to inform the digital solution's development. In return they will profit from the not only the digital platform but also the data collection station prototyped.,Yes,TGO,Togo
Institut de Conseil et d'Appui Technique (ICAT),Government (&amp;related),Contributed domain expertise and shared contact list in exchange for a digital solution that would facilitate their community outreach and help collect feedback on the agricultural insight provided by the organization to the farmers ,Yes,TGO,Togo
Water Science policy,Private Sector,", building the platform, literature review, stakeholder engagement. ",Yes,SYR,Syria
ILO,United Nations,"We exchanged with the ILO's consultant, who is in charge of the ongoing study on informal economy. This exchange enabled us to identify the three key challenges facing informal actors in Mauritania. ",No,MRT,Mauritania
Local government units: from Pasig City in 2019 to up to 60!,Government (&amp;related),"UNDP PH's CE portfolio footprint has expanded from the pioneering work in Pasig City to five cities under the ACE Project. This will further expand to up to 60 cities (20 for deep action and 40 for light touch) under the EU-GEPP. With the new programme about to kick off in Q2 2024 with the first batch of 10 cities, ALab PH is currently preparing for the transition particularly by documenting lessons learned and taking stock of opportunities for growth in three cities (Pasig, Quezon City, and Caloocan).",Yes,PHL,Philippines
Sanad Team for Youth Development,Civil Society,"Sanad Team for Development has been highly engaged in Syria's entrepreneurship scene for the past seven years, participating in numerous programs and projects. As an effective access point to engage subject matter experts in this exercise, they bring invaluable experience. The Accelerator Lab, on the other hand, contributed to the workshop by providing methodologies, facilitation, and the workshop's content.",No,SYR,Syria
Local community,Civil Society,"The partnership aims to identify challenges and opportunities of localising SDGs in Oeccusse and how the people of Oecusse understand their roles to achieve SDGs at community level. 

",No,TLS,East Timor
Bangladesh Tourism Board,Government (&amp;related),Department of Tourism Ministry,No,BGD,Bangladesh
Salesianos de Dom Bosco,Civil Society,They are the responsible party who is helping us with delivering the training.,No,AGO,Angola
Housing Development Corporation (Urbanco),Government (&amp;related),"The partnership was formalised under a MoU. The MoU The MoU specified two main priority areas of cooperation under this joint effort, including:  

i) Conducting socioeconomic research and strengthening data management and analytics of HDC in alignment with the targets for SDG 11 - Sustainable Cities and Communities.   

ii) Convene and facilitate evidence-based policy-practice exchanges between HDC and regional urban cities to create a learning ecosystem.  ",No,MDV,Maldives
Local Administration (Municipalities),Government (&amp;related),"Municipalities - City part of the local government mainly

",No,BGD,Bangladesh
108Jobs,Private Sector,"We worked with the Ministry of Labor and Social Welfare and 108 Jobs (one of the leading employment services providers in Lao PDR) to co-design and co-create a new type of job fair.

",Yes,LAO,Laos
"UN (UNDP - Climate &amp; Environment clusters), FAO, UNICEF",United Nations,"UN (UNDP - Climate &amp; Environment clusters), FAO, - &gt; Executed Blue Green Digital Challenge 



",Yes,BRB,Barbados
SDG AI Lab,United Nations,Contracted to develop the AI model,No,MWI,Malawi
InterXActive,Private Sector,Procured their services to develop a digital system,No,MWI,Malawi
Women dyers' associations,Civil Society,They are the main actors for this cycle.,Yes,MLI,Mali
UN WOMEN,United Nations,UN Women helped to identify the required evidence for the gap map for women's economic empowerment,Yes,BOL,Bolivia
Cross Border Trader Association,Civil Society,"The Associations were able to facilitate access to their membership and participated in the CI workshop. The Zambia Revenue Authority provided information. We worked with AccLab Namibia on the design of the CI workshop and shared proof of concept on the same portfolio with partners, we continue to partner to design the cross border experiment.

",No,ZMB,Zambia
Copperbelt University,Academia,"Main Implementing Partner: CBU will be hosting of the Unipod and direct Implementing Partner of the Hub. The Copperbelt University will lead sustainability efforts targeting partnership building coordination, scaling and networking with relevant Hubs, Universities, and the Private Secto",No,ZMB,Zambia
"Indigenous communities, Javeriana University, innovation ministry.",Civil Society,"Indigenous communities are allies and object of our projects to offer them value. If they are thought of co creators of the value offered, they can be considered as essential partners. The use of the machine and scalability of its use is proposed to be with them.

",Yes,COL,Colombia
GIAN (Gujarat Grassroots Innovation Augmentation Network) y Honey Bee Network.,Government (&amp;related),"GIAN (Gujarat Grassroots Innovation Augmentation Network): Nacida en 1997 en India como la primera incubadora de innovaciones de base, fundada en colaboración con el gobierno de Gujarat y apoyada por SRISTI e IIMA además de Honey Bee Network.

GIAN liderará los espacios de capacitación, en colaboración con el AccLab, y brindará herramientas y materiales conceptuales para la implementación del mapeo de soluciones en Colombia. En este momento estamos considerando el desarrollo de un piloto de mapeo de soluciones, para iniciar la práctica dentro de los equipos del PNUD.",No,COL,Colombia
"·Colombian Association of Financial Innovation and Technology Companies – Colombia Fintech"" (Main private sector partner)

·Finance Superintendence

·Ministry of Finance and Public Credit

·Central Bank

·Regulatory Financial Unit

·National Tax and Customs Directorate",Private Sector,"Our partnership with Colombia Fintech is anchored in the recognition of financial inclusion as a driver for human development and social equity, particularly focusing on vulnerable populations and Micro, Small, and Medium Enterprises (MSMEs). The collaboration revolves around three fundamental axes:

1. Innovation Challenge Development: Through this initiative, we mobilize intellectual and technical resources from the fintech ecosystem to create solutions aimed at efficient resource dispersal. These solutions are aligned with the target population needs of UNDP and the Sustainable Development Goals (SDGs), thereby emphasizing the transformative role of financial technology in Colombia's social and economic fabric.

2.Overcoming Financing Barriers for MSMEs: We focus on mechanisms like Factoring, setting up experiments to identify and overcome financing obstacles for MSMEs. This effort aims not only to improve access to financial services but also to amplify the impact of fintech products and services in achieving more sustainable and equitable development

3.Synchronizing the Fintech Ecosystem with the SDGs: This endeavor is directed towards effectively integrating fintech solutions with the SDGs, ensuring that activities and developments in the fintech sector significantly contribute to the sustainable development objectives.

Our partnership with Colombia Fintech is a strategic effort to leverage the potential of financial innovation for the benefit of social and economic development, especially for the most vulnerable groups and MSMEs in Colombia.",Yes,COL,Colombia
Natalio local government and Pilar local government.,Government (&amp;related),"The Tavarandu Program, with the local government training and the Citizen Laboratories, take place this year 2023 in two districts: Natalio, in Itapúa department, and Pilar, in Ñeembucu department. Both interventions were developed in partnership with the local government from the beginning. The local government created a group to take the leadership and coordination of the process.  ",No,PRY,Paraguay
BTOC – Accounting Firm,Private Sector,"Co-Project Manager. Provide technical-financial know-how for the initiative. Provide a technical-administrative assistant for the project.

",Yes,CPV,Cape Verde
"ACTION 1: THINKIA - CITIZEN LAB

Secreatariat of Higher Education (lead)

Ombudsman's Office (consortium of actors)

Association of Ecuadorian Municipalities (counterpart)

San José Municipal Patronage Unit (counterpart)

ACTION 2: MY FUTURE IS TODAY

Ministry of Labor

ACTION 3: DRA

Ministry of Telecommunications

CITEC

Cluster Financiero",Government (&amp;related),"ACTION 1: THINKIA - CITIZEN LAB

+ Secreatariat of Higher Education

To guarantee Thinkia´s sustainability we have the Secretariat of Higher Education and Innovation on board to take the lead; thus, Thinkia became a public intervention receiving public funds each year.

+ Ombudsman's Office

To operate the Lab, we convened a group of diverse participants from academia, the public sector, and civil society organizations to co-manage, co-fund, and jointly implement Thinkia´s agenda. This consortium of participants gets

elected every two years and UNDP is part of it (2023 – 2025).

+San José Municipal Patronage Unit

We guided the implementation of a social lab for San José Municipal Patronage Unit in Quito and co-led its first public innovation process that aims to improve the service given to homeless people. This is a clear example of Thinkia´ s role

as “trainers of trainers”.

+ Association of Ecuadorian Municipalities (counterpart)

One of the counterparts to run the innovation challenge which aim to identify a service that municipalities would like to improve in collaboration with external actors and users and take action to implement the improvements.

ACTION 2: MY FUTURE IS TODAY

My Future is Today has been handed over to the Ministry of Labor so that this platform is used as a main instrument of the public policy for youth employment.




ACTION 3: DRA

The Digital Readiness Assessment has been published jointly with the Ministry of Telecommunications, and it has started a broader collaboration process to work on inclusive digital transformation, including AI and social protection.",Yes,ECU,Ecuador
"Ministry of Environment and Natural Resources (MARN, by its acronym in Spanish)",Government (&amp;related),"Collaborated with three technical teams with the support of the vice-minister, in jointly integrating relevant data sources, testing data analysis methods, and co-designing data collection tools. This being a novel approach than the traditional programmatic project implementation.",No,GTM,Guatemala
GIZ,Government (&amp;related),"Donor

",No,SDN,Sudan
UNEP,United Nations,knowledge exchange ,No,SDN,Sudan
"The crowdfunding helped UNDP to forge new partnership with
unusual partners like Great Ethiopian Run (GER)-privates sector  and Ethiopian Diaspora Trust Fund (EDTF)-Civil
Society.",Civil Society,"



The crowdfunding campaign was officially launched on 17 August 2023 in partnership with the Great Ethiopian Run (GER). The GER is a globally renowned road race organiser that comes into this crowdfunding campaign with a strong track-record in outreach around partnering with UNDP and
the rest of the UN to promote the Sustainable Development Goals (SDGs) and fundraise for local worthy causes. The Rebuild Her Business campaign will benefit from the “Running for Cause” charity initiative linked with the annual 10k race held in November 2023.

The Ethiopian Diaspora Trust Fund (EDTF) is an organization that creates a powerful connection between those in need in Ethiopia with the diaspora. Over the past 5 year, the fund has mobilized more than 7 million dollars from the Ethiopian diaspora around the world to support projects and dedicate a crisis relief to support the most vulnerable Ethiopians. Seeing the strategic alignment with Rebuild Her Business , EDTF has promoted the campaign with the diaspora community pledged to support 100 women through the Rebuild Her Business campaign with a $50,000 donation. The partnership is not only to support these women but to lay down a foundation for the future work with UNDP in the peace support projects.



",Yes,ETH,Ethiopia
National University of Itapúa (UNI) – Economic and Social Observatory (OES),Academia,"The university is one of the driving forces behind the Moiru Social Innovation Community Challenge, actively participating in all stages of its implementation and playing a fundamental role in the transfer of the methodologies and tools used.

The Observatory became an important ally within the university, supporting activities related to the collection and analysis of data for the production of reports and also in accompanying the teams in the implementation of their pilots, specifically in the field work.",Yes,PRY,Paraguay
"City of Prijedor 
Development Agency of the City of Prijedor",Government (&amp;related),"City of Prijedor 
Development Agency of the City of Prijedor",No,BIH,Bosnia and Herzegovina
Various,Private Sector,The data collection has been conducted with both private and public sectors. The findings may contribute to the draft of the future decree on Startups as mentioned by the government partner who participated in data collection and the validation workshop. ,No,LAO,Laos
"Faculty of Economic and Business Management, National University of Laos",Academia,Partner with the Faculty of Economics and Business Administration to experiment a new internship program,No,LAO,Laos
Ministry of Industry and Commerce (MIC) and Ministry of Labor and Social Security (MTESS),Government (&amp;related),"MIC is the national-level institution missionally in charge of both industrial and SME policies. Through our partnership with MIC, we established close contact and collaboration with their Entrepreneur Support Centers (CAE), when they are available in the territories where we are implementing our pilots. Within MIC, a particularly relevant partner is DINAEM, the section in charge of SME promotion and support. 

MTESS is our partner in the implementation of continuous improvement programs for garment workshops. Through SNPP and SINAFOCAL, both programs from MTESS that provide professional training to workers, we are able to train workers and owners of garment workshops in specific techniques, such as molding and sewing machines maintenance and adjustment.  ",No,PRY,Paraguay
National Sports Team,Private Sector,A popular national sports team (DRUA Rugby) will be working with a local creative director and CSOs to cocreate and disseminate messaging against GBV.,Yes,FJI,Fiji
Vanuatu Government - Ministry of Youth and Sports Development.,Government (&amp;related),"Ministry of Youth and Sports leads and takes ownership of this activity while UNDP supports with technical advice, coordination and implementation. ",No,FJI,Fiji
Commissioner for Protection of Equality of the Republic of Serbia,Government (&amp;related),"The Commissioner for Protection of Equality of the Republic of Serbia has expressed keen interest in a collaborative partnership with AccLab and the Gender team. The aim is to harness our knowledge for their forthcoming initiatives in 2024, reflecting a commitment to advancing gender equality.",No,SRB,Serbia
Fiji Government - Department of Energy,Government (&amp;related),Department under Ministry of Infrastructure and Meteorological Services ,No,FJI,Fiji
ILGERI local start up,Private Sector,helped scaling the initiative,Yes,KGZ,Kyrgyzstan
The GEF Small Grants Programme Nigeria,Government (&amp;related),The UNDP GEF-SGP and UNDP Accelerator Lab collaborated to map  solutions related to methodologies that spur community participation and ownership of local environmental interventions.,Yes,NGA,Nigeria
Ministry of environment,Government (&amp;related),The ministry is the one in charge of the waste related issues and the official partnrer to work with.,No,MRT,Mauritania
Nigerian Meteorological Agency (NiMET),Government (&amp;related),"NiMET provided weather data, crop weather calendars and conducted capacity building on climate-smart agriculture as a technical partner.",No,NGA,Nigeria
"Center for Economic Research and Reforms under the Administration of the President of the Republic of Uzbekistan, Ministry of Employment and Poverty Reduction, Agency for Strategic Reforms",Government (&amp;related),"We discussed the concept of portfolio approach, the strategic value that UNDP aims to add by adopting portfolio based implementation, and its implications to our joint initiatives.",No,UZB,Uzbekistan
Women Peace Bank,Civil Society,implementation partner on the ground ,No,KGZ,Kyrgyzstan
Business associations,Private Sector,the portfolio was designed in collaboration with target industry representatives. ,Yes,BIH,Bosnia and Herzegovina
"- Ministry in charge of gender ( MASEF)


- Univesity of Nouakchott ( A new partner)

- FNUAP",Government (&amp;related),"We have conducted a discussion at the university on the types of violence prevailing at the compus and also an LOA on GBV mapping in the city of Nouakchott is to be signed with the University. This collaboration involves the ministry ( MASEF), the NGOS as UN agencies working on the issue.
",Yes,MRT,Mauritania
"Amhara region Bureau of Planning and Development,
Lasta Woreda (district) administration, Lalibela town municipality.",Government (&amp;related),"The mentioned government office is collaborating
with the UNDP for the livelihood recovery project in the Northern Ethiopia war
affected areas. The data element has been missing among the other in-kind and
financial supports offered by the UNDP, while data is key source of the government
business continuity. Therefore, the accelerator lab has filled this gap by
exploring the extent, and types of data losses and possible recommendations for
a resilient data management system.



",No,ETH,Ethiopia
"The Country Office, Strategic innovation team",United Nations,This is an internal exercise where we supported the CO with portfolio design in collaboration with the Strategic Innovation Team.,No,ETH,Ethiopia
"Winners of the challenge: three private individuals/companies (Riversdale Dairy, Habitats for Ocean Life and Ocean Systems, and Tobago Youth Bicycle Trails) + GEF SGP and Institute of Marine Affairs.",Private Sector,"Project implementation will take place with the 3 private sector partners. They will provide in-depth technical knowledge (goat farming and cheese making, composites for artificial reefs and sargassum biochar and youth environmental education and bicycle repair). ",Yes,TTO,Trinidad and Tobago
Association of Creative Industries,Civil Society,Сo-creation and co-implementation of the platform and all relevant activities,Yes,KGZ,Kyrgyzstan
Department of the Interior and Local Government (DILG),Government (&amp;related),DILG supervises local governments and implements programmes to strengthen their capacity. It will serve as the main partner for the envisaged AAA local government programme. ,No,PHL,Philippines
Tana River County Government,Government (&amp;related),"The partnership helped support the county government in generating data on water access, levels and use. The county has thus embarked on utilizing the data to make evidence-based decisions on water infrastructure projects, budget allocations and respond to climate-related events.",No,KEN,Kenya
Fulbright University Vietnam,Academia,"In this collaboration, the UNDP Accelerator Lab and Fulbright University Vietnam are working together to explore the future of work in Vietnam, particularly from the perspective of the youth and in the context of the digital revolution, technological progress, and Industry 4.0. The research aims to identify emerging trends, potential skill gaps, and ways to adapt education and vocational training systems to equip youth with relevant skills for the future of work. Fulbright University, through their network of students and employers and bringing together these groups for the workshops. We are co-designing the foresight workshops with Fulbright, also drawing from their strength in future studies. ",No,VNM,Vietnam
Departmental autonomous government of chuquisaca,Government (&amp;related),"The Autonomous Departmental Government of Chuquisaca (GADCH) and the United Nations Development Program (UNDP) signed a MoU on September 27, 2021, in the framework of the ¨AGENDA 2030 AND SUSTAINABLE DEVELOPMENT GOALS¨, which aims to establish a framework for non-exclusive cooperation, facilitate and strengthen collaboration between the parties in different areas of common interest.

Within the framework of the Territorial Plan of Integral Development for Living Well (PTDI) of the Departmental Autonomous Government of Chuquisaca, the institutional agenda has prioritized actions regarding the e-government policy, the digitalization of technical and administrative processes to reduce the bureaucracy of services, achieve timely access and promote the efficiency of public management. One of the processes the GADCH prioritizes is the control and exploitation of strategic natural resources. One of which was the digitalization of Form 101, ""Transport of Minerals and Metals,"" in an effort to improve and optimize the processes for the management of mining royalties in the department of Chuquisaca.",No,BOL,Bolivia
National Institute of the Indigenuos Peoples of Mexico,Government (&amp;related),Participants of the workshops,No,MEX,Mexico
GIE Federation des groupements de Sandiara,Civil Society,Partenaire pour le suivi des activités sur le terrain,No,SEN,Senegal
The Ministry of Energy and Natural Resources (Department of Energy Efficiency and Environment),Government (&amp;related),Implementation partner,No,TUR,Turkey
Innov Up,Private Sector,Consultant ,Yes,SEN,Senegal
Mimar Sinan Fine Arts University,Academia,Academia -research partner,Yes,TUR,Turkey
Berkane province,Government (&amp;related),"Our collaboration with Berkane Province has been a key

aspect of the Smart City Caravan initiative. We have provided extensive

assistance and shared our expertise in smart city development with the

province’s employees. This partnership has involved offering technical

assistance and guidance on integrating advanced digital technologies and

sustainable urban development practices.

The focus of our engagement has been to empower provincial

employees with the knowledge and skills needed to implement and manage smart

city technologies effectively. Through workshops, training sessions, and

hands-on support, we have worked closely with them to understand and leverage

digital twin technology, IoT, and data-driven decision-making processes.

Our collaboration has not only facilitated the technological 

transformation of Berkane but also ensured that local government staff are

adept at using these technologies for the betterment of their urban

environment. This exchange of expertise and learning has been pivotal in

strengthening the capabilities of Berkane Province in the realm of smart city

development, paving the way for more informed, efficient, and sustainable urban

governance.",Yes,MAR,Morocco
"Kathmandu, Lalitpur and Chandragiri",Government (&amp;related),Local government provided open spaces to station the upcycled benches,No,NPL,Nepal
"Shankharapur Municipality, Lalitpur Metropolitan City, Pokhara Metropolitan City",Government (&amp;related),Collaboration with the local governments,No,NPL,Nepal
Court of Justice,Government (&amp;related),"The Office of the Judiciary has responsibilities related to the administrative functions of the judiciary, such as preparing the annual budget, financial management, supply management, personnel planning, building management, academic work, and promoting judicial work. These tasks are typical of organizational administration and are crucial in supporting the judiciary's primary mission to deliver systematic, efficient, and excellent justice administration.",No,THA,Thailand
The Plurinational Authority of the Mother Earth (APMT),Government (&amp;related),"The APMT needs to develop an adequate methodology to build indigenous life plans linked to municipal plans. Currently, the methodology is being finalized by our team and will soon be delivered to the APMT.",No,BOL,Bolivia
